codigo,aplicacion,nombreSV,estadoApp,ipV4,estadoipV4,ambienteSV, rol,so,ubicacion
HT012,Gestión Aceleradores y Estrategias (GAE),sc0-02zdbadm10,Eliminado,,,Recuperación ante desastres (RD),"Capa: Base de Datos, No de Tarjetas Fiber Channel: N/A",,ID601 - Datacenter Odata
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,172.29.10.105,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,172.29.10.76,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,172.29.10.86,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,172.29.20.70,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,172.30.139.28,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,172.30.139.52,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,172.31.1.173,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,192.168.10.20,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,192.168.24.29,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,192.168.24.30,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,192.168.28.16,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI010,GESTIÓN DOCUMENTAL ONBASE,sc01zdbadm16,Aplicado,,,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc0-02zdbadm05,,,,Recuperación ante desastres (RD),"Capa: Base de Datos, No de Tarjetas Fiber Channel: N/A",,ID601 - Datacenter Odata
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,172.29.10.108,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,172.29.10.55,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,172.29.10.65,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,172.29.20.57,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,172.30.139.21,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,172.30.139.53,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,172.31.1.165,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,192.168.10.21,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,192.168.24.31,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,192.168.24.32,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,192.168.28.17,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm05,Aplicado,,,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm17,Aplicado,172.29.10.106,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm17,Aplicado,172.29.10.107,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm17,Aplicado,172.29.10.77,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm17,Aplicado,172.29.10.87,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm17,Aplicado,172.29.20.71,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm17,Aplicado,172.30.139.29,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm17,Aplicado,172.30.139.54,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm17,Aplicado,172.31.1.174,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm17,Aplicado,192.168.10.22,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),sc01zdbadm17,Aplicado,192.168.24.33,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
