nombreAppCMDB,nombreAppEventos,nombrAppLB
Validar,Validar,AUDITORA
AD CONNECT O365 ACTIVE DIRECTORY,AD CONNECT O365 ACTIVE DIRECTORY,AD CONNECT O365 ACTIVE DIRECTORY
AGENCIA PÚBLICA DE EMPLEO (PORTAL),SIS DE INFO TRANSA AGENCIA PUBLICA DE EMPLEO -APE,AGENCIA PÚBLICA DE EMPLEO (PORTAL)
AGENCIA PÚBLICA DE EMPLEO (TRANSACCIONAL),SIS DE INFO TRANSACCIONAL AGENCIA PUBLICA DE EMPLEO -APE,AGENCIA PÚBLICA DE EMPLEO (TRANSACCIONAL)
APORTES CERTIAPORTES,APORTES CERTIAPORTES - HISTORICO,APORTES CERTIAPORTES
AUTENTICACION DIGITAL MINTIC,AUTENTICACION DIGITAL - PREGUNTAS RETO,AUTENTICACION DIGITAL MINTIC
AUTOMATION ANYWHERE,AUTOMATION ANYWHERE,AUTOMATION ANYWHERE
BAYAEBOT,AUTOMATION ANYWHERE,BAYAEBOT
EJECUBOT,AUTOMATION ANYWHERE,EJECUBOT
HOCENBOT,AUTOMATION ANYWHERE,HOCENBOT
INGREBOT,AUTOMATION ANYWHERE,INGREBOT
JUDIBOT,AUTOMATION ANYWHERE,JUDIBOT
MODIPBOT,AUTOMATION ANYWHERE,MODIPBOT
OLOBOT,AUTOMATION ANYWHERE - OLOBOT,OLOBOT
OPERBOT,AUTOMATION ANYWHERE,OPERBOT
PILABOT,AUTOMATION ANYWHERE,PILABOT
PRESBOT,AUTOMATION ANYWHERE,PRESBOT
BASE DE DATOS SNIES,BASE DE DATOS SNIES,BASE DE DATOS SNIES
BLACKBOX,BLACKBOX,BLACKBOX
Validar,Validar,BRECHAS
BUS DE DATOS,BUS DE DATOS,BUS DE DATOS
CAPACITACIÓN DE SEGURIDAD Y SALUD EN EL TRABAJO (SST),CAPACITACION DE SEGURIDAD Y SALUD EN EL TRABAJO - SST,CAPACITACIÓN DE SEGURIDAD Y SALUD EN EL TRABAJO (SST)
CARPETA EDUCATIVA DIGITAL,Validar,Validar
CHATBOT AGENTI,CHATBOT AGENTI,CHATBOT AGENTI
CLASIFICACIÓN ÚNICA DE OCUPACIONES PARA COLOMBIA (CUOC),CLASIFICACION UNICA DE OCUPACIONES PARA COLOMBIA - CUOC,CLASIFICACIÓN UNICA DE OCUPACIONES PARA COLOMBIA (CUOC)
CÓDIGO DE BARRAS - SPU,SISTEMA DE PROCESOS UNIFICADOS - SPU CODIGO DE BARRAS,CÓDIGO DE BARRAS - SPU
COMPROMISO SISTEMA INTEGRADO DE GESTIÓN Y AUTOCONTROL SIGA,COMPROMISO SISTEMA INTEGRADO DE GESTION Y AUTOCONTROL -SIGA,COMPROMISO SISTEMA INTEGRADO DE GESTIÓN Y AUTOCONTROL SIGA
COMUNICA,COMUNICA,COMUNICA
CONTRATACIÓN,CONTRATACION,CONTRATACIÓN
CONTROLDOC,CONTROLDOC,CONTROLDOC
CONVOCATORIAS SENNOVA,CONVOCATORIAS-SENNOVA,CONVOCATORIAS SENNOVA
CORREO ELECTRÓNICO MISENA,CORREO ELECTRONICO MISENA,CORREO ELECTRÓNICO MISENA
CORREO INSTITUCIONAL EXCHANGE,CORREO INSTITUCIONAL EXCHANGE,CORREO INSTITUCIONAL EXCHANGE
COSTOS WEB,COSTOS WEB,COSTOS WEB
Validar,Validar,CUALIFICACIONES 
DASHBOARD EMPLEABILIDAD,DASHBOARD EMPLEABILIDAD,DASHBOARD EMPLEABILIDAD
DIRECTORIO ACTIVO,DIRECTORIO ACTIVO,DIRECTORIO ACTIVO
EVALUACIONES EN LÍNEA -ECCL,EVALUACIONES EN LINEA - ECCL,EVALUACIONES EN LÍNEA -ECCL
FIRMA DIGITAL_CERTIFICACIONES,FIRMA DIGITAL_CERTIFICACIONES,FIRMA DIGITAL_CERTIFICACIONES
GESDOC06,GESDOC06_CONSULTA HISTORICA,GESDOC06
GESDOC2K,GESDOC2K_CONSULTA HISTORICA,GESDOC2K
Gestión Aceleradores y Estrategias (GAE),GESTION ACELERADORES Y ESTRATEGIAS - GAE,GESTIÓN ACELERADORES Y ESTRATEGIAS (GAE)
GESTIÓN DOCUMENTAL ONBASE,GESTION DOCUMENTAL ONBASE,GESTIÓN DOCUMENTAL ONBASE
GESTIONWEB (WEBSUPPORT),GESTIONWEB - WEBSUPPORT,GESTIONWEB (WEBSUPPORT)
GXSERVER,GXSERVER,GXSERVER
HERRAMIENTA DE GESTIÓN DE PROYECTOS,HERRAMIENTA DE GESTION DE PROYECTOS,HERRAMIENTA DE GESTIÓN DE PROYECTOS
HERRAMIENTA KMS,HERRAMIENTA KMS,HERRAMIENTA KMS
Validar,Validar,INFORMÁTICA ENTERPRISE DATA CATALOG
Validar,Validar,INFRAESTRUCTURA
INTERFAZ SERVICIOS DEL BUS DE DATOS OSB,Validar,INTERFAZ SERVICIOS DEL BUS DE DATOS OSB
INTEROPERABILIDAD SENA CONTRALORÍA,INTEROPERABILIDAD SENA CONTRALORIA,INTEROPERABILIDAD SENA CONTRALORÍA
INTEROPERABILIDAD SENA XROAD,INTEROPERABILIDAD SENA XROAD,INTEROPERABILIDAD SENA XROAD
INTRASUITE,INTRASUITE,INTRASUITE
JASPER,JASPER,JASPER
KACTUS,KACTUS,KACTUS
LATCH - CA PRIVILEGED ACCESS MANAGER (CAPAM),LATCH - CA PRIVILEGED ACCESS MANAGER -CAPAM,LATCH - CA PRIVILEGED ACCESS MANAGER (CAPAM)
Validar,LICENCIAS GXFLOW,LICENCIAS GXFLOW
LICENCIAMIENTO GENEXUS,LICENCIMIENTO GENEXUS,LICENCIAMIENTO GENEXUS
MANTIS BUGTRAKER,MANTIS BUGTRAKER,MANTIS BUGTRAKER
MANTUM COMPUTER MANAGEMENT MAINTENANCE SYSTEM (CMMS),MANTUM COMPUTER MANAGEMENT MAINTENANCE SYSTEM - CMMS,MANTUM COMPUTER MANAGEMENT MAINTENANCE SYSTEM (CMMS)
MEGAHOPEX,MEGAHOPEX,MEGAHOPEX
MEN_OSB,MEN_OSB,MEN_OSB
MICROSOFT CRM - ON LINE,MICROSOFT CRM - ON LINE,MICROSOFT CRM - ON LINE
MICROSOFT CRM - ON PREMISE,MICROSOFT CRM - ON PREMISE,MICROSOFT CRM - ON PREMISE
MICROSOFT SECURITY - RAAS,MICROSOFT SECURITY - RAAS,MICROSOFT SECURITY - RAAS
MODELO DE ORIENTACIÓN VOCACIONAL Y OCUPACIONAL (MVO),MODELO DE ORIENTACION VOCACIONAL Y OCUPACIONAL - MVO,MODELO DE ORIENTACION VOCACIONAL Y OCUPACIONAL (MVO)
MODELOS ANALÍTICOS METAS DE FORMACIÓN,MODELO ANALITICOS METAS DE FORMACION,MODELOS ANALÍTICOS METAS DE FORMACIÓN
MÓVIL FELIZMENTE,MOVIL FELIZMENTE,MOVIL FELIZMENTE
NORMOGRAMA,NORMOGRAMA,NORMOGRAMA
NUBE SENA NUEVA INTRANET,NUBE SENA NUEVA INTRANET,Validar
OBSERVATORIO LABORAL Y OCUPACIONAL,OBSERVATORIO LABORAL Y OCUPACIONAL,OBSERVATORIO LABORAL Y OCUPACIONAL
OFICINA VIRTUAL DE RADICACIÓN,OFICINA VIRTUAL DE RADICACION,OFICINA VIRTUAL DE RADICACIÓN
OFICINA VIRTUAL FORMACIÓN,OFICINA VIRTUAL - FORMACION,OFICINA VIRTUAL FORMACIÓN
PÁGINA MI INVENTARIO,PAGINA MIINVENTARIO,PÁGINA MI INVENTARIO
PERIÓDICO WEB SENA,PERIODICO WEB SENA,PERIÓDICO WEB SENA
PLAN DE ACCIÓN - BANCO DE PROYECTOS SENA (BPS),Validar,Validar
PLAN DE ACCIÓN - FORMULARIO Y SEGUIMIENTO,Validar,Validar
PLAN DE ACCIÓN - PROGRAMACIÓN DE METAS,Validar,Validar
PLAN DE ACCIÓN - PROGRAMACIÓN PRESUPUESTAL,Validar,Validar
PLAN DE ACCIÓN - WEB OPERATIVA,Validar,PLAN DE ACCIÓN - WEB OPERATIVA
PLANILLA INTEGRAL CARTERA,PLANILLA INTEGRAL - CARTERA - HISTORICO,PLANILLA INTEGRAL CARTERA
PORTAL ANALÍTICA DEL SENA,PORTAL ANALITICA DEL SENA,PORTAL ANALÍTICA DEL SENA
PORTAL DE INTEROPERABILIDADES DEL SENA,PORTAL DE INTEROPERABILIDADES DEL SENA,PORTAL DE INTEROPERABILIDADES DEL SENA
PORTAL PQRSD,PORTAL PQRS,PORTAL PQRSD
PORTAL WEB INSTITUCIONAL,PORTAL WEB INSTITUCIONAL,PORTAL WEB INSTITUCIONAL
Validar,Validar,PROCESO GESTIÓN CONTRACUAL (BIZAGI)
Validar,Validar,PROCESO PLAN ANTICORRUPCIÓN Y ATENCIÓN AL CIUDADANO PAAC
PROYECTO GESTIÓN DE CONOCIMIENTO,PROYECTO GESTION DE CONOCIMIENTO,PROYECTO GESTIÓN DE CONOCIMIENTO
REDMINE,REDMINE,REDMINE
REGISTRADURIA SIRC - ANI,REGISTRADURIA SIRC - ANI,REGISTRADURIA SIRC - ANI
Validar,Validar,REPOSITORIO DE CONTENIDOS
REPOSITORIO SVN DESARROLLOS,REPOSITORIO SVN DESARROLLOS,REPOSITORIO SVN DESARROLLOS
RETOS,RETOS,RETOS
RODOLFO,RODOLFO,RODOLFO
Rues_OSB,Validar,RUES_OSB
Validar,Validar,SAGA - Sistema Automatizado de Gestión Académica
Validar,SEDE ELECTRONICA,SEDE ELECTRÓNICA
Sede Electrónica Componente Tramites,SEDE ELECTRONICA COMPONENTE TRAMITES,SEDE ELECTRÓNICA COMPONENTE TRÁMITES
