codigo,aplicacion,instancia,ambienteSV,nombreSVHost,nombreSVOVM,ipV4
Por validar,AUDITORA,N/A,PREPRODUCCIÓN,PSNMVBOGAUDITORA-1,PSNMVBOGAUDITORA-1,172.29.33.144
SI104,SEDE ELECTRÓNICA,N/A,PREPRODUCCIÓN,VSPPAPOODI01,VSPPAPOODI01,172.30.164.40
SI104,SEDE ELECTRÓNICA,N/A,PREPRODUCCIÓN,VSPPAPOODI02,VSPPAPOODI02,172.30.164.41
SI104,SEDE ELECTRÓNICA,N/A,PREPRODUCCIÓN,VSPPAPOSOA01,VSPPAPOSOA01,172.30.164.38
SI104,SEDE ELECTRÓNICA,N/A,PREPRODUCCIÓN,VSPPAPOSOA02,VSPPAPOSOA02,172.30.164.39
SI104,SEDE ELECTRÓNICA,N/A,PREPRODUCCIÓN,VSPPBDOODI01,VSPPBDOODI01,172.31.4.154
SI104,SEDE ELECTRÓNICA,N/A,PREPRODUCCIÓN,VSPPBDOSOA01,VSPPBDOSOA01,172.31.4.153
SI104,SEDE ELECTRÓNICA,N/A,PRODUCCIÓN,VSGSEFRONAAPP01,VSGSEFRONAAPP01,172.29.19.84
SI104,SEDE ELECTRÓNICA,N/A,PRODUCCIÓN,VSGSEFRONAAPP02,VSGSEFRONAAPP02,172.29.19.85
SI104,SEDE ELECTRÓNICA,N/A,PRODUCCIÓN,VSGSEPENTHAAPP02,VSGSEPENTHAAPP02,172.29.19.17
SI104,SEDE ELECTRÓNICA,N/A,PRODUCCIÓN,VSGSETOMAPP02,VSGSETOMAPP02,172.29.19.23
SI104,SEDE ELECTRÓNICA,N/A,PRODUCCIÓN,VSPDAPOSOA01,VSPDAPOSOA01,172.30.163.45
SI104,SEDE ELECTRÓNICA,N/A,PRODUCCIÓN,VSPDBDOSOA01,VSPDBDOSOA01,172.31.4.42
SI031,SISTEMA DE INFORMACIÓN OPTIMIZADO PARA LA FORMACIÓN INTEGRAL Y EL APRENDIZAJE ACTIVO (SOFIA PLUS),N/A,PRODUCCIÓN,SFSOFNFS01,N/A,172.29.18.121
SI104,SEDE ELECTRÓNICA,N/A,PRODUCCIÓN,VSGSEIISAPP02,VSGSEIISAPP02,172.29.19.19
SI148 -1,"SISTEMA DE INFORMACIÓN DE RECAUDO, CARTERA Y COBRO COACTIVO (SIREC)",N/A,PREPRODUCCIÓN,VSPPAPSIREC02,VSPPAPSIREC02,172.30.164.45
HT001,AD CONNECT O365 ACTIVE DIRECTORY,N/A,PRODUCCIÓN,VSPDADCNT01,VSPDADCNT01,172.30.163.176
SI001,APORTES CERTIAPORTES,N/A,PRODUCCIÓN,sc0102d2z04,N/A,172.29.10.134
SI180,AUTOMATION ANYWHERE,N/A,PRODUCCIÓN,VSPDAPRPABT01,VSPDAPRPABT01,172.30.163.103
SI180,AUTOMATION ANYWHERE,N/A,PREPRODUCCIÓN,VSPPAPRPABT04,VSPPAPRPABT04,172.30.164.104
SI180,AUTOMATION ANYWHERE,N/A,PRODUCCIÓN,VSPDAPRPABT02,VSPDAPRPABT02,172.30.163.104
SI180,AUTOMATION ANYWHERE,N/A,PRODUCCIÓN,VSPDAPRPABT04,VSPDAPRPABT04,172.30.163.106
SI180,AUTOMATION ANYWHERE,N/A,PREPRODUCCIÓN,VSPPAPRPABT01,VSPPAPRPABT01,172.30.164.101
SI180,AUTOMATION ANYWHERE,N/A,PREPRODUCCIÓN,VSPPAPBOT02,VSPPAPBOT02,172.30.164.16
SI180,AUTOMATION ANYWHERE,N/A,PREPRODUCCIÓN,VSPPAPBOT03,VSPPAPBOT03,172.30.164.20
SI180,AUTOMATION ANYWHERE,N/A,PREPRODUCCIÓN,VSPPBDBOT01,VSPPBDBOT01,172.31.4.142
SI180,AUTOMATION ANYWHERE,N/A,PRODUCCIÓN,VSPDBDBOT01,VSPDBDBOT01,172.31.4.100
SI180,AUTOMATION ANYWHERE,N/A,PRODUCCIÓN,VSPDAPBOT01,VSPDAPBOT01,172.30.163.244
SI180,AUTOMATION ANYWHERE,N/A,PREPRODUCCIÓN,VSPPAPBOT01,VSPPAPBOT01,172.30.164.15
SI180,AUTOMATION ANYWHERE,N/A,PRODUCCIÓN,VSPDAPBOT02,VSPDAPBOT02,172.30.163.245
SI180,AUTOMATION ANYWHERE,N/A,PREPRODUCCIÓN,VSPPBDRPABT01,VSPPBDRPABT01,172.31.4.167
SI180,AUTOMATION ANYWHERE,N/A,PRODUCCIÓN,VSPDAPRPABT03,VSPDAPRPABT03,172.30.163.105
SI180,AUTOMATION ANYWHERE,N/A,PREPRODUCCIÓN,VSPPAPRPABT03,VSPPAPRPABT03,172.30.164.103
SI180,AUTOMATION ANYWHERE,N/A,PRODUCCIÓN,VSPDBDRPABT01,VSPDBDRPABT01,172.31.4.76
SI052,BASE DE DATOS SNIES,N/A,PRODUCCIÓN,sc01zdbadm05,N/A,172.29.10.55
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),N/A,PRODUCCIÓN,sc01zdbadm17,N/A,172.29.10.77
SI052,BASE DE DATOS SNIES,N/A,PRODUCCIÓN,sc01zdbadm17,N/A,172.29.10.77
SI091,SISTEMA DE LA DIRECCIÓN DE FORMACIÓN PARA EL TRABAJO (DSNFT),N/A,PRODUCCIÓN,sc01zdbadm17,N/A,172.29.10.77
HT017,PROCESO GESTIÓN CONTRACUAL (BIZAGI),N/A,DESARROLLO,VSDEAPBIZG01,VSDEAPBIZG01,172.30.176.127
HT017,PROCESO GESTIÓN CONTRACUAL (BIZAGI),N/A,DESARROLLO,VSDEBDBIZG01,VSDEBDBIZG01,172.30.162.161
HT017,PROCESO GESTIÓN CONTRACUAL (BIZAGI),N/A,PREPRODUCCIÓN,VSPPAPBIZG01,VSPPAPBIZG01,172.30.164.146
HT017,PROCESO GESTIÓN CONTRACUAL (BIZAGI),N/A,PREPRODUCCIÓN,VSPPBDBIZG01,VSPPBDBIZG01,172.31.4.177
SI099,BUS DE DATOS,N/A,PREPRODUCCIÓN,VSPPBDBUS01,VSBDAPP01CL,172.29.35.130
SI099,BUS DE DATOS,N/A,PREPRODUCCIÓN,VSPPAPBUS01,VSPPAPBUS01,172.30.164.42
SI099,BUS DE DATOS,N/A,PRODUCCIÓN,VSPDAPBUS01,VSBUSDATAAPP01,172.29.19.25
SI126,CAPACITACIÓN DE SEGURIDAD Y SALUD EN EL TRABAJO (SST),N/A,PREPRODUCCIÓN,VSPPAPCSST01,VSPPAPCSST01,172.30.164.53
SI126,CAPACITACIÓN DE SEGURIDAD Y SALUD EN EL TRABAJO (SST),N/A,PRODUCCIÓN,VSPDAPCSST01,VSPDAPCSST01,172.30.163.126
SI126,CAPACITACIÓN DE SEGURIDAD Y SALUD EN EL TRABAJO (SST),N/A,PRODUCCIÓN,VSPDAPCSST02,VSPDAPCSST02,172.30.163.127
SI056,CHATBOT AGENTI,APE,PREPRODUCCIÓN,VSPPAPCHFORM01,VSPPAPCHFORM01,172.30.164.22
SI056,CHATBOT AGENTI,APE,PREPRODUCCIÓN,VSPPBDCHFORM01,VSPPBDCHFORM01,172.31.4.144
SI056,CHATBOT AGENTI,APE,PRODUCCIÓN,VSPDAPCHAPE01,VSPDAPCHAPE01,172.30.163.88
SI056,CHATBOT AGENTI,APE,PRODUCCIÓN,VSPDAPCHAPE02,VSPDAPCHAPE02,172.30.163.89
